@relation kddcup-buffer_overflow_vs_back
@attribute Atr-0 real [0.0, 58329.0]
@attribute Atr-1 {icmp, tcp, udp}
@attribute Atr-2 {auth, bgp, courier, csnet_ns, ctf, daytime, discard, domain, domain_u, echo, eco_i, ecr_i, efs, exec, finger, ftp, ftp_data, gopher, hostnames, http, http_443, imap4, IRC, iso_tsap, klogin, kshell, ldap, link, login, mtp, name, netbios_dgm, netbios_ns, netbios_ssn, netstat, nnsp, nntp, ntp_u, other, pm_dump, pop_2, pop_3, printer, private, red_i, remote_job, rje, shell, smtp, sql_net, ssh, sunrpc, supdup, systat, telnet, tftp_u, time, tim_i, urh_i, urp_i, uucp, uucp_path, vmnet, whois, X11, Z39_50}
@attribute Atr-3 {OTH, REJ, RSTO, RSTOS0, RSTR, S0, S1, S2, S3, SF, SH}
@attribute Atr-4 real [0.0, 6.9337564E8]
@attribute Atr-5 real [0.0, 5155468.0]
@attribute Atr-6 {0, 1}
@attribute Atr-7 {0, 1, 3}
@attribute Atr-8 {0, 1, 2, 3}
@attribute Atr-9 real [0.0, 30.0]
@attribute Atr-10 {0, 1, 2, 3, 4, 5}
@attribute Atr-11 {0, 1}
@attribute Atr-12 real [0.0, 884.0]
@attribute Atr-13 {0, 1}
@attribute Atr-14 {0, 1, 2}
@attribute Atr-15 real [0.0, 993.0]
@attribute Atr-16 real [0.0, 28.0]
@attribute Atr-17 {0, 1, 2}
@attribute Atr-18 {0, 1, 2, 3, 4, 6, 8}
@attribute Atr-19 {0}
@attribute Atr-20 {0}
@attribute Atr-21 {0, 1}
@attribute Atr-22 real [0.0, 511.0]
@attribute Atr-23 real [0.0, 511.0]
@attribute Atr-24 real [0.0, 1.0]
@attribute Atr-25 real [0.0, 1.0]
@attribute Atr-26 real [0.0, 1.0]
@attribute Atr-27 real [0.0, 1.0]
@attribute Atr-28 real [0.0, 1.0]
@attribute Atr-29 real [0.0, 1.0]
@attribute Atr-30 real [0.0, 1.0]
@attribute Atr-31 real [0.0, 255.0]
@attribute Atr-32 real [0.0, 255.0]
@attribute Atr-33 real [0.0, 1.0]
@attribute Atr-34 real [0.0, 1.0]
@attribute Atr-35 real [0.0, 1.0]
@attribute Atr-36 real [0.0, 1.0]
@attribute Atr-37 real [0.0, 1.0]
@attribute Atr-38 real [0.0, 1.0]
@attribute Atr-39 real [0.0, 1.0]
@attribute Atr-40 real [0.0, 1.0]
@attribute Class {positive, negative}
@inputs Atr-0, Atr-1, Atr-2, Atr-3, Atr-4, Atr-5, Atr-6, Atr-7, Atr-8, Atr-9, Atr-10, Atr-11, Atr-12, Atr-13, Atr-14, Atr-15, Atr-16, Atr-17, Atr-18, Atr-19, Atr-20, Atr-21, Atr-22, Atr-23, Atr-24, Atr-25, Atr-26, Atr-27, Atr-28, Atr-29, Atr-30, Atr-31, Atr-32, Atr-33, Atr-34, Atr-35, Atr-36, Atr-37, Atr-38, Atr-39, Atr-40
@outputs Class
@data
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 4.0, 4.0, 0.0, 0.0, 0.25, 0.25, 1.0, 0.0, 0.0, 86.0, 86.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.05, 0.05, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 88.0, 88.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.05, 0.05, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 89.0, 89.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.04, 0.04, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 5.0, 5.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 90.0, 90.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.04, 0.04, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 9.0, 9.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 91.0, 91.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.04, 0.04, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 11.0, 11.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 92.0, 92.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.04, 0.04, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 11.0, 11.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 93.0, 93.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.04, 0.04, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 11.0, 12.0, 0.0, 0.0, 0.0, 0.08, 1.0, 0.0, 0.17, 94.0, 94.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.04, 0.04, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 12.0, 13.0, 0.0, 0.0, 0.0, 0.08, 1.0, 0.0, 0.15, 95.0, 95.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.04, 0.04, negative
0.0, tcp, http, RSTR, 15492.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 4.0, 5.0, 0.0, 0.0, 0.25, 0.4, 1.0, 0.0, 0.4, 96.0, 96.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.05, 0.05, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 5.0, 6.0, 0.0, 0.0, 0.2, 0.33, 1.0, 0.0, 0.33, 97.0, 97.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.05, 0.05, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 6.0, 6.0, 0.0, 0.0, 0.17, 0.17, 1.0, 0.0, 0.0, 99.0, 99.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.05, 0.05, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 5.0, 6.0, 0.0, 0.0, 0.2, 0.33, 1.0, 0.0, 0.33, 100.0, 100.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.05, 0.05, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 4.0, 5.0, 0.0, 0.0, 0.0, 0.2, 1.0, 0.0, 0.4, 101.0, 101.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.05, 0.05, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 102.0, 102.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.05, 0.05, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 103.0, 103.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.05, 0.05, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 104.0, 104.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.05, 0.05, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 105.0, 105.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.05, 0.05, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 107.0, 107.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.05, 0.05, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 5.0, 5.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 108.0, 108.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.05, 0.05, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 110.0, 110.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.05, 0.05, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 4.0, 5.0, 0.0, 0.0, 0.0, 0.2, 1.0, 0.0, 0.4, 112.0, 112.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.04, 0.04, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 4.0, 6.0, 0.0, 0.0, 0.0, 0.33, 1.0, 0.0, 0.5, 113.0, 113.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.04, 0.04, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 5.0, 7.0, 0.0, 0.0, 0.0, 0.29, 1.0, 0.0, 0.43, 114.0, 114.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.04, 0.04, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 4.0, 5.0, 0.0, 0.0, 0.0, 0.2, 1.0, 0.0, 0.4, 115.0, 115.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.04, 0.04, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 5.0, 6.0, 0.0, 0.0, 0.0, 0.17, 1.0, 0.0, 0.33, 116.0, 116.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.04, 0.04, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 5.0, 5.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 117.0, 117.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.04, 0.04, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 118.0, 118.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.04, 0.04, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 11.0, 12.0, 0.0, 0.0, 0.09, 0.17, 1.0, 0.0, 0.17, 121.0, 121.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.05, 0.05, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 5.0, 5.0, 0.0, 0.0, 0.2, 0.2, 1.0, 0.0, 0.0, 123.0, 123.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.05, 0.05, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 124.0, 124.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.05, 0.05, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 5.0, 6.0, 0.0, 0.0, 0.0, 0.17, 1.0, 0.0, 0.33, 125.0, 125.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.05, 0.05, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 5.0, 6.0, 0.0, 0.0, 0.0, 0.17, 1.0, 0.0, 0.33, 126.0, 126.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.05, 0.05, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 6.0, 7.0, 0.0, 0.0, 0.0, 0.14, 1.0, 0.0, 0.29, 127.0, 127.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.05, 0.05, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 5.0, 6.0, 0.0, 0.0, 0.0, 0.17, 1.0, 0.0, 0.33, 128.0, 128.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.05, 0.05, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 6.0, 7.0, 0.0, 0.0, 0.0, 0.14, 1.0, 0.0, 0.29, 129.0, 129.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.05, 0.05, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 5.0, 5.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 130.0, 130.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.05, 0.05, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 131.0, 131.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.05, 0.05, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 4.0, 4.0, 0.0, 0.0, 0.25, 0.25, 1.0, 0.0, 0.0, 134.0, 134.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.05, 0.05, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 5.0, 5.0, 0.0, 0.0, 0.2, 0.2, 1.0, 0.0, 0.0, 135.0, 135.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.05, 0.05, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 137.0, 137.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.05, 0.05, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 138.0, 138.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.05, 0.05, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 139.0, 139.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.05, 0.05, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 140.0, 140.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.05, 0.05, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 141.0, 141.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.05, 0.05, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 142.0, 142.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.05, 0.05, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 143.0, 143.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.05, 0.05, negative
0.0, tcp, http, RSTR, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 4.0, 4.0, 0.0, 0.0, 0.25, 0.25, 1.0, 0.0, 0.0, 144.0, 144.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.06, 0.06, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 4.0, 4.0, 0.0, 0.0, 0.25, 0.25, 1.0, 0.0, 0.0, 147.0, 147.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.05, 0.05, negative
0.0, tcp, http, RSTR, 53452.0, 7300.0, 0, 0, 0, 1.0, 0, 1, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 5.0, 5.0, 0.0, 0.0, 0.4, 0.4, 1.0, 0.0, 0.0, 148.0, 148.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.06, 0.06, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 5.0, 5.0, 0.0, 0.0, 0.2, 0.2, 1.0, 0.0, 0.0, 151.0, 151.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.06, 0.06, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 4.0, 6.0, 0.0, 0.0, 0.0, 0.33, 1.0, 0.0, 0.5, 152.0, 152.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.06, 0.06, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 5.0, 7.0, 0.0, 0.0, 0.0, 0.29, 1.0, 0.0, 0.43, 153.0, 153.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.06, 0.06, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 5.0, 7.0, 0.0, 0.0, 0.0, 0.29, 1.0, 0.0, 0.43, 154.0, 154.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.06, 0.06, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 4.0, 6.0, 0.0, 0.0, 0.0, 0.33, 1.0, 0.0, 0.5, 155.0, 155.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.06, 0.06, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 5.0, 7.0, 0.0, 0.0, 0.0, 0.29, 1.0, 0.0, 0.43, 156.0, 156.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.06, 0.06, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 157.0, 157.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.06, 0.06, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 5.0, 5.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 158.0, 158.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.06, 0.06, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 5.0, 5.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 159.0, 159.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.06, 0.06, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 6.0, 6.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 160.0, 160.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.06, 0.06, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 5.0, 5.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 161.0, 161.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.06, 0.06, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 162.0, 162.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.06, 0.06, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 5.0, 5.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 163.0, 163.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.06, 0.06, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 164.0, 164.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.05, 0.05, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 165.0, 165.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.05, 0.05, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 5.0, 5.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 166.0, 166.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.05, 0.05, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 167.0, 167.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.05, 0.05, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 4.0, 4.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 168.0, 168.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.05, 0.05, negative
0.0, tcp, http, SF, 54540.0, 8314.0, 0, 0, 0, 2.0, 0, 1, 1.0, 0, 0, 0.0, 0.0, 0, 0, 0, 0, 0, 5.0, 6.0, 0.0, 0.0, 0.0, 0.17, 1.0, 0.0, 0.33, 169.0, 169.0, 1.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.05, 0.05, negative
